Detector Type, Descriptor Type, Image, TTC Lidar, TTC Camera, TTC Camera – Lidar
AKAZE, FREAK,4,14.08,14.04,-0.040
AKAZE, FREAK,5,12.73,15.89,3.162
AKAZE, FREAK,6,13.75,14.45,0.694
AKAZE, FREAK,7,13.73,15.36,1.631
AKAZE, FREAK,8,13.79,19.81,6.022
AKAZE, FREAK,9,12.06,21.92,9.862
AKAZE, FREAK,10,11.86,11.89,0.029
AKAZE, FREAK,11,11.97,12.16,0.194
AKAZE, FREAK,12,9.89,16.92,7.035
AKAZE, FREAK,13,9.43,10.78,1.358
AKAZE, FREAK,14,9.30,9.88,0.574
AKAZE, FREAK,15,8.32,9.89,1.574
AKAZE, FREAK,16,8.90,13.44,4.539
AKAZE, FREAK,17,11.03,11.04,0.012
AKAZE, FREAK,18,8.54,8.81,0.271
